Season,Round,Race,Driver,StopNumber,LapNumber,PitStopTime,PitStopDuration
2020,1,Austrian_Grand_Prix,albon,1,26,15:43:25,21.279
2020,1,Austrian_Grand_Prix,albon,2,51,16:15:09,21.842
2020,1,Austrian_Grand_Prix,albon,3,56,16:24:03,17.035
2020,1,Austrian_Grand_Prix,bottas,1,26,15:43:06,21.937
2020,1,Austrian_Grand_Prix,bottas,2,56,16:23:58,16.407
2020,1,Austrian_Grand_Prix,gasly,1,26,15:44:02,22.466
2020,1,Austrian_Grand_Prix,gasly,2,56,16:24:07,19.911
2020,1,Austrian_Grand_Prix,giovinazzi,1,25,15:42:49,23.659
2020,1,Austrian_Grand_Prix,giovinazzi,2,55,16:22:14,22.8
2020,1,Austrian_Grand_Prix,giovinazzi,3,56,16:24:16,19.678
2020,1,Austrian_Grand_Prix,grosjean,1,20,15:37:03,23.28
2020,1,Austrian_Grand_Prix,hamilton,1,26,15:43:14,21.85
2020,1,Austrian_Grand_Prix,hamilton,2,56,16:24:00,16.365
2020,1,Austrian_Grand_Prix,kvyat,1,26,15:44:12,22.769
2020,1,Austrian_Grand_Prix,kvyat,2,51,16:15:41,21.622
2020,1,Austrian_Grand_Prix,kvyat,3,56,16:24:11,19.656
2020,1,Austrian_Grand_Prix,latifi,1,26,15:45:08,22.058
2020,1,Austrian_Grand_Prix,latifi,2,51,16:16:23,21.918
2020,1,Austrian_Grand_Prix,latifi,3,56,16:24:14,19.488
2020,1,Austrian_Grand_Prix,leclerc,1,26,15:43:38,22.756
2020,1,Austrian_Grand_Prix,leclerc,2,51,16:15:24,21.972
2020,1,Austrian_Grand_Prix,leclerc,3,56,16:24:05,18.748
2020,1,Austrian_Grand_Prix,norris,1,26,15:43:33,23.637
2020,1,Austrian_Grand_Prix,norris,2,51,16:15:19,21.921
2020,1,Austrian_Grand_Prix,norris,3,56,16:24:03,18.163
2020,1,Austrian_Grand_Prix,ocon,1,26,15:44:17,21.683
2020,1,Austrian_Grand_Prix,ocon,2,56,16:24:09,19.626
2020,1,Austrian_Grand_Prix,perez,1,26,15:43:34,22.383
2020,1,Austrian_Grand_Prix,perez,2,56,16:24:01,16.546
2020,1,Austrian_Grand_Prix,raikkonen,1,24,15:41:31,23.229
2020,1,Austrian_Grand_Prix,raikkonen,2,51,16:15:48,21.569
2020,1,Austrian_Grand_Prix,russell,1,25,15:42:53,21.417
2020,1,Austrian_Grand_Prix,sainz,1,26,15:43:41,23.827
2020,1,Austrian_Grand_Prix,sainz,2,52,16:17:02,21.805
2020,1,Austrian_Grand_Prix,sainz,3,56,16:24:08,20.064
2020,1,Austrian_Grand_Prix,vettel,1,26,15:43:55,22.231
